85,3,161,446,135,360,124,95
86,3,149,373,130,305,120,84
84,1,189,467,168,379,153,130
86,8,157,399,134,374,120,92
72,12,143,362,107,353,169,113
95,4,157,442,133,443,192,104
113,16,164,443,131,423,212,122
113,6,180,482,139,417,200,121
103,2,203,439,136,345,174,107
98,7,169,460,149,353,155,115
92,8,118,426,88,315,152,106
83,4,124,378,113,292,120,85
93,8,162,419,144,368,176,104
61,4,110,363,105,334,157,90
78,6,149,420,123,318,119,78
76,6,124,364,97,340,159,101
102,1,150,387,93,384,182,116
76,2,106,303,92,294,127,116
81,1,136,336,124,293,171,89
91,4,124,384,109,326,132,101
84,1,156,407,124,279,134,99
92,3,131,374,108,260,103,81
86,7,96,412,115,247,115,72
68,1,82,296,68,186,100,79
53,8,79,291,70,238,126,98
65,13,102,348,85,204,92,81
64,8,97,335,69,296,122,87
64,6,117,287,115,268,151,85
60,6,133,290,137,257,141,113
80,10,148,297,160,277,124,91
83,7,180,355,174,305,150,92
70,7,169,342,182,263,122,72
63,5,190,362,142,250,107,76
84,3,155,316,139,249,131,81
43,0,140,275,147,205,89,68
53,2,138,263,134,201,98,69
51,3,168,319,160,238,90,77
40,6,110,233,115,179,78,51
59,10,105,248,119,257,132,85
47,2,94,235,82,259,123,71
46,5,110,284,109,291,129,77
72,2,141,317,171,278,94,88
63,2,161,292,139,260,121,81
63,6,149,293,159,272,99,67
56,2,98,261,93,240,114,56
52,4,107,237,103,257,75,58
60,6,85,235,91,203,86,65
52,5,71,211,88,155,60,45
50,2,92,232,107,143,50,45
36,4,103,245,115,143,69,41
43,4,103,224,104,171,77,54
55,2,116,301,119,184,69,71
55,6,93,257,114,180,77,69
55,2,92,271,124,185,78,60
41,4,103,253,133,203,61,57
54,5,90,233,105,211,86,60
57,9,85,281,130,180,57,48
44,4,83,220,117,173,70,55
47,4,85,233,133,151,64,56
59,7,73,181,74,142,66,49
